Latitude,Longitude,DirectNormal,DifuseRadiation,FotoActive,GlobalHorizonta,PlanoInclinado,InsolacaoTotal,PreciptacaoTotal,TempMaxMedia,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,Altitude,Umidade,TempMinimaMedia,PressaoMedia
-9.2005,-38.349,5158,2127,5634,5634,2396,245.61591397849466,43.80103626943006,32.69350291351351,4.100098299465241,7.922179893048128,341.46,57.2926065966851,22.33311053475936,973.9977232994653
-9.2005,-38.249,5080,2154,5577,5580,2367,245.61591397849466,43.80103626943006,32.69350291351351,4.100098299465241,7.922179893048128,341.46,57.2926065966851,22.33311053475936,973.9977232994653
-9.2005,-38.149,5097,2135,5559,5562,2359,237.22620320855617,56.04715025906736,29.51119107291667,3.720392776595744,7.025531157894737,680.6999999999999,76.99311193406594,18.40727882198953,938.2015217499999
-9.2005,-38.049,5035,2150,5523,5526,2338,237.22620320855617,56.04715025906736,29.51119107291667,3.720392776595744,7.025531157894737,680.6999999999999,76.99311193406594,18.40727882198953,938.2015217499999
-9.2005,-37.949,5133,2140,5572,5577,2356,237.22620320855617,56.04715025906736,29.51119107291667,3.720392776595744,7.025531157894737,680.6999999999999,76.99311193406594,18.40727882198953,938.2015217499999
-9.2005,-37.249,4972,2158,5471,5477,2331,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.2005,-37.149,5069,2142,5504,5509,2346,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.2005,-37.049,4883,2161,5407,5416,2308,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.2005,-36.949,4849,2169,5388,5395,2299,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.2005,-36.849,4870,2165,5404,5408,2302,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.2005,-36.749,4754,2191,5372,5380,2283,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.2005,-36.649,4660,2195,5345,5356,2280,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.2005,-36.549,4402,2224,5220,5228,2236,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.2005,-36.449,4424,2216,5232,5243,2255,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.2005,-36.349,4148,2259,5130,5139,2218,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.2005,-36.249,4161,2261,5122,5130,2217,171.33023255813953,77.94729064039409,26.342124846153844,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356587,922.6833972525774
-9.1005,-40.849,5647,2052,5794,5774,2431,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.1005,-40.749,5625,2056,5783,5768,2429,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.1005,-40.649,5591,2055,5766,5751,2424,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.1005,-40.549,5535,2056,5744,5730,2416,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.1005,-40.449,5446,2076,5708,5694,2400,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.1005,-40.349,5465,2061,5714,5701,2407,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
-9.1005,-40.249,5376,2089,5688,5677,2394,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237623,970.8785758480392
