Latitude,Longitude,DirectNormal,DifuseRadiation,FotoActive,GlobalHorizonta,PlanoInclinado,InsolacaoTotal,PreciptacaoTotal,TempMaxMedia,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,Altitude,Umidade,TempMinimaMedia,PressaoMedia,Em_SARAH,Hm_SARAH,SDm_SARAH,Em_NSRDB,Hm_NSRDB,SDm_NSRDM
-9.2005,-36.949,4849,2169,5388,5395,2299,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,135.0,178,4.67,135.0,178,3.1
-9.2005,-36.849000000000004,4870,2165,5404,5408,2302,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,134.0,177,5.49,135.0,178,2.6
-9.2005,-36.749,4754,2191,5372,5380,2283,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,131.0,173,5.93,134.0,177,2.8
-9.2005,-36.649,4660,2195,5345,5356,2280,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,129.0,171,5.37,135.0,178,4.0
-9.2005,-36.549,4402,2224,5220,5228,2236,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,133.0,175,4.73,131.0,174,3.2
-9.2005,-36.449,4424,2216,5232,5243,2255,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,127.0,168,5.35,133.0,176,4.1
-9.2005,-36.349000000000004,4148,2259,5130,5139,2218,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,129.0,170,4.17,131.0,173,2.78
-9.2005,-36.249,4161,2261,5122,5130,2217,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,130.0,172,4.05,130.0,171,3.49
-9.1005,-40.849000000000004,5647,2052,5794,5774,2431,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,136.0,179,4.96,139.0,183,3.46
-9.1005,-40.749,5625,2056,5783,5768,2429,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,137.0,180,4.86,139.0,183,3.13
-9.1005,-40.649,5591,2055,5766,5751,2424,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,137.0,181,4.53,139.0,184,3.55
-9.1005,-40.549,5535,2056,5744,5730,2416,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,136.0,179,4.84,139.0,184,3.54
-9.1005,-40.449,5446,2076,5708,5694,2400,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,136.0,179,4.82,138.0,182,3.07
-9.1005,-40.349000000000004,5465,2061,5714,5701,2407,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,134.0,177,5.28,140.0,185,2.91
-9.1005,-40.249,5376,2089,5688,5677,2394,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,135.0,178,5.12,137.0,180,4.58
-9.1005,-40.149,5474,2073,5734,5723,2414,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,137.0,181,4.69,137.0,181,2.74
-9.1005,-40.049,5412,2088,5712,5702,2403,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,136.0,179,4.64,139.0,183,2.67
-9.1005,-39.949,5336,2107,5679,5668,2384,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,134.0,177,3.89,138.0,182,2.5
-9.1005,-38.349000000000004,5351,2106,5709,5707,2419,245.6159139784946,43.801036269430064,32.69350291351351,4.100098299465241,7.922179893048128,341.46,57.292606596685104,22.33311053475936,973.9977232994652,136.0,179,3.61,142.0,188,5.05
